code,name,canton,fromValue,fromWeight,toValue,toWeight,deltaMin,deltaLabel,window,fromYear,toYear,level,metric,weightMode
CH,Switzerland,CH,1.8127275614754665,900628.7989150693,1.5587506919282477,931227.6250278157,-0.2539768695472189,-15 s,NEAT Base Tunnels,2016,2021,national,avgDwellMin,weighted
CH,Switzerland,CH,1.5587506919282477,931227.6250278157,1.3538159634827265,972525.2026779198,-0.20493472844552119,-12 s,2021-2026,2021,2026,national,avgDwellMin,weighted
CH,Switzerland,CH,1.3538159634827265,972525.2026779198,1.6536002560763916,1032425.0522794605,0.2997842925936651,+18 s,STEP 2035 Planning Horizon,2026,2035,national,avgDwellMin,weighted
CH,Switzerland,CH,28.5123690555837,691687.9034080931,19.860963799527454,774678.521178201,-8.651405256056247,-8 min 39 s,1982-2002,1982,2002,national,avgWaitMin,weighted
CH,Switzerland,CH,19.860963799527454,774678.521178201,17.48713210310046,792716.7802216841,-2.3738316964269934,-2 min 22 s,Bahn 2000,2002,2005,national,avgWaitMin,weighted
CH,Switzerland,CH,17.48713210310046,792716.7802216841,16.800067974600637,827327.3009810151,-0.6870641284998236,-41 s,2005-2009,2005,2009,national,avgWaitMin,weighted
CH,Switzerland,CH,16.570654945154093,845565.5875109965,16.36334133687378,879043.8549301851,-0.20731360828031242,-12 s,2011-2014,2011,2014 Q1/2,national,avgWaitMin,weighted
CH,Switzerland,CH,16.36334133687378,879043.8549301851,15.642151766517607,900628.7989150693,-0.7211895703561737,-43 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,national,avgWaitMin,weighted
CH,Switzerland,CH,15.642151766517607,900628.7989150693,15.07479556690329,931227.6250278157,-0.5673561996143164,-34 s,NEAT Base Tunnels,2016,2021,national,avgWaitMin,weighted
CH,Switzerland,CH,15.07479556690329,931227.6250278157,13.52858651821483,972525.2026779198,-1.5462090486884605,-1 min 33 s,2021-2026,2021,2026,national,avgWaitMin,weighted
CH,Switzerland,CH,13.52858651821483,972525.2026779198,12.037809658252876,1032425.0522794605,-1.4907768599619544,-1 min 29 s,STEP 2035 Planning Horizon,2026,2035,national,avgWaitMin,weighted
AG,AG,AG,45.19053485337668,52492.46504633583,41.48333446431238,63668.19478861897,-3.7072003890643046,-3 min 42 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
AR,AR,AR,85.18173851938103,2337.67733014733,65.25785688704842,2573.5226271079864,-19.92388163233261,-19 min 55 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
BE,BE,BE,49.935407258279646,126979.47826157603,43.25225311340193,127650.86201353073,-6.683154144877719,-6 min 41 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
BL,BL,BL,55.082965018075676,14579.476154661505,42.27824085200031,17331.14045352219,-12.804724166075367,-12 min 48 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
BS,BS,BS,57.59542256113124,32231.9190284993,54.17517662424411,29916.348812925444,-3.4202459368871274,-3 min 25 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
FR,FR,FR,65.62628033822229,12773.230152961112,54.38668876312726,16570.03572271046,-11.239591575095027,-11 min 14 s,1982-2002,1982,2002,canton,avgTotalMin,weighted
